pn	screen_pain	Pain/Discomfort
br	screen_breathing	Breathing
hr	screen_heart	Heart, Blood and Infections
fo	screen_intake	Eating and Drinking
bw	screen_bowel	Bowel and Bladder
en	screen_energy	Energy
sl	screen_sleep	Sleep and Rest
vi	screen_vision	Vision and Hearing
sk	screen_skin	Skin and Hair
mm	screen_memory	Thinking and Memory
rl	screen_relation	Relationships with Family and Friends
ad	screen_activities	Activities of Daily Living and Self-care
mo	screen_mood	Mood and Feelings
co	screen_control	Maintaining Control over my Situation
wo	screen_worries	Worries/Concerns
sp	screen_spiritual	Spiritual Needs
ot	screen_other	Other
