#HUID	Screen	Group	When	Duration	Group	When	Duration	Group	When	Duration	Group	When	Duration
1000326189305	1	1	00:00.1	00:00.1	1	00:00.2	00:00.2	1	00:00.1	00:00.1	1	00:00.1	00:00.1
1000326189305	2	2	00:22.7	00:22.7	2	00:59.7	00:59.7	2	02:15.8	02:15.8	2	00:15.3	00:15.3
1000326189305	3	3	00:35.6	00:12.9	3	01:24.0	00:24.3	3	02:23.6	00:07.9	1	01:00.2	00:44.9
1000326189305	4	4	01:09.6	00:34.0	4	01:45.8	00:21.8	4	02:31.9	00:08.2	2	02:51.8	01:51.6
1000326189305	5	5	01:12.8	00:03.2	5	01:54.9	00:09.1	5	02:33.4	00:01.5	3	02:59.6	00:07.9
1000326189305	6	6	01:17.5	00:04.7	6	03:03.5	01:08.6	6	02:35.6	00:02.2	4	04:38.3	01:38.6
1000326189305	7	7	01:19.2	00:01.7	7	03:19.9	00:16.4	7	02:37.1	00:01.5	5	05:34.9	00:56.6
1000326189305	8	8	01:20.7	00:01.5	8	03:35.5	00:15.7	8	02:38.5	00:01.4	4	07:29.3	01:54.4
1000326189305	9	9	01:23.5	00:02.8	9	03:49.9	00:14.4	9	02:39.9	00:01.4	3	08:24.4	00:55.1
1000326189305	10	10	01:28.5	00:05.5	10	04:02.7	00:12.8	10	02:41.8	00:01.2	4	09:02.4	00:37.6
1000326189305	11	11	01:29.8	00:01.4	11	04:19.1	00:16.4	11	02:42.3	00:01.2	5	09:03.6	00:01.6
1000326189305	12	12	01:31.3	00:01.4	12	04:46.3	00:27.1	12	02:45.3	00:03.1	6	09:10.8	00:07.2
1000326189305	13	13	01:34.9	00:02.8	13	04:59.6	00:13.3	13	02:46.6	00:01.3	7	11:07.0	01:56.1
1000326189305	14	14	01:36.2	00:02.1	14	05:41.6	00:41.9	14	02:47.9	00:01.2	8	12:33.5	01:26.5
1000326189305	15	15	01:38.9	00:01.9	15	05:57.8	00:16.3	15	02:49.2	00:01.3	9	14:09.3	01:35.8
1000326189305	16	16	01:41.9	00:03.8	16	06:35.6	00:37.8	16	02:50.7	00:01.5	10	15:33.9	01:23.8
1000326189305	17	17	01:43.5	00:01.6	17	07:04.3	00:28.7	17	02:52.8	00:01.4	11	17:45.4	02:12.3
1000326189305	18	18	01:45.5	00:02.5	18	07:17.4	00:13.8	18	02:53.6	00:01.6	12	18:55.8	01:10.4
1000326189305	19	19	01:47.2	00:01.7	19	08:37.4	01:20.0	19	02:55.1	00:01.4	13	19:33.4	00:37.6
1000326189305	20	20	01:49.9	00:02.7	20	10:30.5	01:53.2	20	02:56.8	00:01.8	14	20:28.1	00:54.7
1000326189305	21	21	01:51.9	00:02.0	21	10:46.7	00:16.1	21	02:58.6	00:01.8	15	20:45.8	00:17.7
1000326189305	22	22	01:54.2	00:02.8	22	11:05.6	00:19.0	22	03:00.0	00:01.3	16	21:13.7	00:27.9
1000326189305	23	23	02:06.9	00:12.8	25	11:15.8	00:10.2	23	03:03.2	00:03.6	17	22:05.5	00:51.9
1000326189305	24	24	02:59.0	00:52.9	26	13:18.4	02:02.6	25	03:17.1	00:14.9	18	22:23.5	00:17.9
1000326189305	25	3	03:03.7	00:04.7	27	14:19.5	01:01.4	26	03:44.1	00:27.3	19	22:50.7	00:27.3
1000326189305	26	4	03:41.2	00:37.5	.	.	.	27	03:57.0	00:12.9	20	23:25.3	00:34.5
1000326189305	27	5	03:49.6	00:08.4	.	.	.	.	.	.	21	23:38.5	00:12.7
1000326189305	28	6	03:55.5	00:05.5	.	.	.	.	.	.	22	23:58.3	00:20.3
1000326189305	29	7	04:00.8	00:05.3	.	.	.	.	.	.	25	24:03.4	00:05.6
1000326189305	30	8	04:08.1	00:08.5	.	.	.	.	.	.	26	25:44.8	01:41.5
1000326189305	31	9	04:18.3	00:10.2	.	.	.	.	.	.	27	26:02.0	00:17.2
1000326189305	32	10	04:24.2	00:05.8	.	.	.	.	.	.	26	26:07.5	00:05.6
1000326189305	33	11	04:41.6	00:16.9	.	.	.	.	.	.	25	27:26.5	01:18.9
1000326189305	34	12	04:49.5	00:08.0	.	.	.	.	.	.	26	28:45.1	01:18.6
1000326189305	35	13	04:57.8	00:08.8	.	.	.	.	.	.	25	29:41.9	00:56.8
1000326189305	36	14	05:08.3	00:10.5	.	.	.	.	.	.	26	32:18.5	02:36.7
1000326189305	37	15	05:13.8	00:05.5	.	.	.	.	.	.	27	34:35.0	02:16.5
1000326189305	38	16	05:47.6	00:33.2	.	.	.	.	.	.	.	.	.
1000326189305	39	17	06:18.7	00:31.7	.	.	.	.	.	.	.	.	.
1000326189305	40	18	06:25.9	00:07.2	.	.	.	.	.	.	.	.	.
1000326189305	41	19	06:32.4	00:06.5	.	.	.	.	.	.	.	.	.
1000326189305	42	20	06:44.3	00:12.0	.	.	.	.	.	.	.	.	.
1000326189305	43	21	06:50.7	00:06.3	.	.	.	.	.	.	.	.	.
1000326189305	44	22	06:58.5	00:07.9	.	.	.	.	.	.	.	.	.
1000326189305	45	25	07:02.6	00:03.5	.	.	.	.	.	.	.	.	.
1000326189305	46	26	10:26.1	03:24.1	.	.	.	.	.	.	.	.	.
1000326189305	47	27	10:44.3	00:18.2	.	.	.	.	.	.	.	.	.
